date,AI,Programming,Security,Startups
2026-05-26,70,27,8,5
2026-05-27,72,28,8,5
2026-05-28,73,29,9,6
2026-05-29,76,31,10,7
2026-05-30,81,34,12,8
2026-05-31,85,37,13,9
2026-06-01,90,40,15,10
2026-06-02,89,41,12,13
2026-06-02,63,14,10,7
2026-06-02,68,15,10,7
2026-06-02,70,16,10,7
2026-06-03,80,19,10,5
2026-06-03,80,19,10,5
2026-06-03,80,19,10,3
2026-06-03,80,19,10,3
2026-06-03,80,19,10,3
2026-06-03,80,19,10,3
2026-06-03,81,19,10,3
2026-06-03,81,19,10,3
2026-06-03,81,19,10,3
2026-06-03,81,19,10,3
2026-06-03,81,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,82,19,10,3
2026-06-03,83,19,10,3
2026-06-03,83,19,10,3
2026-06-03,83,19,10,3
2026-06-03,83,19,10,3
2026-06-03,83,19,10,3
2026-06-03,83,19,10,3
2026-06-03,83,19,10,3
2026-06-03,83,19,10,3
2026-06-03,82,19,10,3
2026-06-03,83,19,10,3
2026-06-03,84,19,10,3
2026-06-03,84,19,10,3
2026-06-03,84,19,10,3
2026-06-03,84,19,10,3
2026-06-03,84,19,10,3
2026-06-03,84,18,10,3
2026-06-03,85,18,10,3
2026-06-03,84,15,10,3
2026-06-03,76,15,13,5
2026-06-03,77,16,14,6
2026-06-04,70,17,13,5
2026-06-04,68,15,12,5
2026-06-04,67,19,12,5
2026-06-04,69,19,9,5
2026-06-05,70,19,11,7
2026-06-05,75,22,12,6
2026-06-05,84,20,15,7
2026-06-05,72,16,14,10
2026-06-06,70,14,15,11
2026-06-06,68,15,14,11
2026-06-06,71,17,14,11
2026-06-06,64,19,15,11
2026-06-07,64,20,13,8
2026-06-07,63,22,12,9
2026-06-07,68,22,12,8
2026-06-07,67,22,11,9
2026-06-08,71,24,10,8
2026-06-08,74,24,11,8
2026-06-08,70,24,13,6
2026-06-08,72,26,12,3
2026-06-09,72,28,8,3
2026-06-09,63,30,10,3
2026-06-09,62,25,7,3
2026-06-09,67,25,9,4
2026-06-10,84,21,10,4
